,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed,Date,Country,City
87,7.53,-12.5,80.58,78,1,5.21,1573328982,SL,bonthe
88,-5.13,-49.33,89.6,59,20,4.7,1573328982,BR,itupiranga
89,-30.97,22.13,67.35,29,100,11.45,1573328982,ZA,carnarvon
90,44.14,52.16,50.74,38,4,10.29,1573328982,KZ,shetpe
91,-34.18,142.16,55.4,58,90,10.29,1573328982,AU,mildura
92,-3.93,119.75,74.98,83,100,1.45,1573328982,ID,arawa
93,-0.74,-90.35,80.6,61,40,14.99,1573328982,EC,puerto ayora
94,71.64,128.87,-10.23,96,100,6.24,1573328982,RU,tiksi
95,-35.17,173.16,64.99,100,100,15.48,1573328983,NZ,ahipara
96,47.38,-61.86,33.8,55,75,20.8,1573328983,CA,cap-aux-meules
97,-20.31,118.58,68.0,64,4,8.05,1573328983,AU,port hedland
98,45.6,-0.6,48.2,87,55,8.05,1573328983,FR,souillac
99,-19.38,-40.06,76.69,76,18,8.39,1573328950,BR,linhares
100,47.66,-52.73,37.0,47,75,36.91,1573328920,CA,torbay
101,-22.4,26.7,71.6,65,83,10.8,1573328983,BW,serowe
102,35.73,140.83,46.4,87,40,9.17,1573328983,JP,hasaki
103,73.51,80.55,2.88,96,100,7.29,1573328983,RU,dikson
104,14.03,99.53,68.54,89,91,3.13,1573328983,TH,kanchanaburi
105,22.89,-109.91,93.2,42,40,3.36,1573328783,MX,cabo san lucas
106,-30.38,153.1,46.0,93,0,3.76,1573328983,AU,sawtell
107,-18.36,21.84,80.04,39,44,5.19,1573328984,BW,shakawe
108,-19.99,23.42,80.6,54,75,3.36,1573328984,BW,maun
109,-34.53,20.04,64.99,77,100,16.11,1573328984,ZA,bredasdorp
110,-21.21,-159.78,77.0,78,23,10.29,1573328984,CK,avarua
111,-45.41,167.72,43.12,95,100,5.1,1573328984,NZ,te anau
112,45.36,-73.48,36.0,66,90,9.17,1573328984,CA,saint-philippe
113,50.56,-96.99,26.01,83,100,5.99,1573328936,CA,husavik
114,49.72,-86.95,21.2,73,90,2.24,1573328984,CA,geraldton
115,32.7,-16.77,66.2,72,75,19.46,1573328984,PT,machico
116,-3.44,10.65,80.64,82,100,6.4,1573328984,GA,mayumba
117,65.8,87.96,-14.88,98,100,5.28,1573328962,RU,turukhansk
118,16.03,-16.5,77.0,65,76,6.93,1573328984,SN,saint-louis
119,25.65,87.89,72.57,85,100,4.81,1573328985,IN,jian
120,21.11,82.1,68.59,87,99,0.58,1573328985,IN,mahasamund
121,38.24,16.26,61.0,44,40,3.36,1573328985,IT,locri
122,72.79,-56.15,11.17,78,13,8.99,1573328985,GL,upernavik
123,35.31,-78.61,54.0,37,1,3.36,1573328902,US,dunn
124,51.97,12.14,43.0,81,75,8.05,1573328985,DE,bone
125,-43.53,172.64,64.99,68,100,6.93,1573328700,NZ,christchurch
126,-33.69,-53.46,65.19,84,100,12.64,1573328985,UY,chuy
127,-31.59,28.78,59.0,82,100,6.93,1573328985,ZA,umtata
128,-2.92,-39.92,79.77,71,64,11.56,1573328985,BR,itarema
129,-5.2,-35.46,84.2,54,20,16.11,1573328985,BR,touros
130,-0.12,-51.29,93.2,56,40,13.87,1573328985,BR,mazagao
131,13.21,12.02,85.3,14,21,7.63,1573328985,NE,maine-soroa
132,2.82,-60.67,93.2,44,40,8.05,1573328986,BR,boa vista
133,8.96,38.73,60.8,51,20,10.29,1573328986,ET,lebu
134,-35.1,173.78,64.99,100,84,18.5,1573328986,NZ,kaeo
135,-22.12,14.28,60.01,88,0,3.96,1573328986,NA,henties bay
136,64.25,-15.21,45.63,75,100,26.26,1573328986,IS,hofn
